Time,cX001,cX002,cX003,cX004,cX005,cX006,cX007,cX008,cX009,cX010,cX011,cX012,cX013,cX014,cX015,cX016,cX017,cX018,cX019,cX020
1285.141,0.22,,,,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,-0.22,,,0.14
1285.176,0.22,,-0.34,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.24,,,0.15
1285.211,0.22,,-0.34,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.24,,,0.15
1285.246,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.26,,,0.14
1285.281,0.22,,,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.28,,,0.14
1285.316,0.22,,,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.28,,,0.14
1285.351,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.29,,,0.15
1285.386,0.22,,-0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.31,,,0.15
1285.421,0.22,,-0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.31,,,0.15
1285.456,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.32,,,0.15
1285.491,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.35,,,0.15
1285.526,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,-0.38,,,0.14
1285.561,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,-0.38,,,0.14
1285.596,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.4,,,0.15
1285.631,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,-0.43,,,0.14
1285.666,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,-0.43,,,0.14
1285.701,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.46,,,0.14
1285.736,0.22,,-0.33,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.49,,,0.15
1285.771,0.22,,-0.33,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.49,,,0.15
1285.806,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,-0.5,,,0.15
1285.841,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.53,,,0.15
1285.876,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,-0.53,,,0.15
1285.911,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,-0.55,,,0.14
1285.946,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1285.981,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.016,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.051,0.22,,-0.34,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,,,,0.14
1286.086,0.22,,-0.34,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,,,,0.14
1286.121,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.156,0.22,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.191,0.22,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.226,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.261,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.296,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.331,0.23,,,0.54,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.366,0.22,,-0.34,0.53,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.401,0.22,,-0.34,0.53,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.436,0.22,,-0.33,0.51,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,,,,0.14
1286.471,0.22,,,0.5,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.506,0.22,,,0.5,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.541,0.22,,-0.33,0.5,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.576,0.22,,0.11,0.47,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.611,0.22,,0.11,0.47,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.646,0.22,,,0.45,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.681,0.22,,,0.43,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.716,0.22,,,0.43,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.751,0.22,,,0.4,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.786,0.22,,0.33,0.39,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.821,0.22,,0.33,0.39,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.856,0.22,,-0.33,0.37,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1286.891,0.22,,-0.33,0.36,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.926,0.22,,-0.33,0.36,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.961,0.22,,,0.35,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1286.996,0.22,,-0.33,0.34,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.031,0.22,,-0.33,0.33,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.066,0.22,,-0.33,0.33,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.101,0.22,,,0.33,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.136,0.22,,-0.34,0.32,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.171,0.22,,-0.34,0.32,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.206,0.22,,-0.34,0.31,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1287.241,0.22,,,0.3,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.276,0.22,,,0.3,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.311,0.22,,,0.3,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1287.346,0.22,,,0.28,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1287.381,0.22,,,0.28,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1287.416,0.22,,-0.33,0.26,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1287.451,0.22,,,0.23,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1287.486,0.22,,,0.23,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1287.521,0.22,,-0.34,0.22,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1287.556,0.22,,-0.33,0.22,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.591,0.22,,-0.33,0.22,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.626,0.22,,-0.33,0.21,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.661,0.22,,-0.33,0.21,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.696,0.22,,-0.33,0.21,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.731,0.22,,,0.2,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.766,0.22,,-0.33,0.19,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.801,0.22,,-0.33,0.19,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.836,0.22,,-0.34,0.19,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1287.871,0.22,,-0.33,0.19,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.906,0.22,,-0.33,0.19,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.941,0.22,,,0.19,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1287.976,0.22,,-0.33,0.19,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.011,0.22,,-0.33,0.19,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.046,0.22,,-0.34,0.19,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.081,0.22,,-0.34,0.19,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.116,0.22,,-0.34,0.19,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.151,0.22,,-0.34,0.18,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.186,0.22,,-0.34,0.17,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,,,,0.14
1288.221,0.22,,-0.34,0.17,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,,,,0.14
1288.256,0.22,,,0.16,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.291,0.22,,-0.33,0.15,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.326,0.22,,-0.33,0.15,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.361,0.22,,-0.33,0.14,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.396,0.22,,,0.15,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.431,0.22,,,0.15,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.14
1288.466,0.22,,,0.15,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1288.501,0.22,,-0.33,0.14,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1288.536,0.22,,-0.33,0.14,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,,,,0.15
1288.571,0.22,,,0.14,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.55,,,0.15
1288.606,0.22,,,0.14,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.54,,,0.14
1288.641,0.22,,,0.14,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.54,,,0.14
1288.676,0.22,,-0.33,0.13,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.53,,,0.15
1288.711,0.22,,,0.12,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.54,,,0.15
1288.746,0.22,,,0.12,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.54,,,0.15
1288.781,0.22,,-0.34,0.1,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,-0.53,,,0.15
1288.816,0.22,,-0.33,0.08,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.52,,,0.14
1288.851,0.22,,-0.33,0.08,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,-0.52,,,0.14
